DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2020925,Nickel,7440-02-0,PXHVJJICTQNCMI-UHFFFAOYSA-N,Nickel,[Ni],"InChI=1S/Ni
",Ni,58.6934,57.935342,257,20042,3383,6164,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2021284,Styrene,100-42-5,PPBRXRYQALVLMV-UHFFFAOYSA-N,Ethenylbenzene,C=CC1=CC=CC=C1,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2
",C8H8,104.152,104.062600,417,1679,317,1422,1,1/235,0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2024169,Manganese,7439-96-5,PWHULOQIROXLJO-UHFFFAOYSA-N,Manganese,[Mn],"InChI=1S/Mn
",Mn,54.938044,54.938044,260,25667,3624,6107,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2024666,"1,4-Butanediol",110-63-4,WERYXYBDKMZEQL-UHFFFAOYSA-N,"Butane-1,4-diol",OCCCCO,"InChI=1S/C4H10O2/c5-3-1-2-4-6/h5-6H,1-4H2
",C4H10O2,90.122,90.068080,226,188,235,31,1,8/664,1,664
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2025507,Linseed oil,8001-26-1,,,,,,, ,159,971,,481,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2029371,C.I. Pigment Yellow 42,51274-00-1,,,,,,, ,123,,,542,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2042307,Polytetramethylene glycol,25190-06-1,,,"[H]OCCCCO |lp:1:2,6:2,Sg:n:1,2,3,4,5::ht|","InChI=1S/C4H10O2/c5-3-1-2-4-6/h5-6H,1-4H2
",(C4H8O)nH2O,, ,57,45,,29,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3021352,Titanium dioxide,13463-67-7,LEMYXEJBSHBMSA-UHFFFAOYSA-N,,[O--].[O--].[Ti++],"InChI=1S/2O.Ti/q2*-2;+2
",O2Ti,79.866,79.938868,300,9551,,19364,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3031022,Chromium,7440-47-3,VYZAMTAEIAYCRO-UHFFFAOYSA-N,Chromium,[Cr],"InChI=1S/Cr
",Cr,51.9961,51.940506,229,13302,303,5340,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3050492,Cellulose,9004-34-6,,,,,,, ,207,24087,,938,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3051258,Polyvinyl acetate copolymer,9003-20-7,,,,,,, ,122,216,,315,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4023880,Antimony trioxide,1309-64-4,ADCOVFLJGNWWNZ-UHFFFAOYSA-N,"Distiboxane-1,3-dione",O=[Sb]O[Sb]=O,"InChI=1S/3O.2Sb
",O3Sb2,291.517,289.792360,169,42,42,620,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4024696,Butyl methacrylate,97-88-1,SOGAXMICEFXMKE-UHFFFAOYSA-N,Butyl 2-methylprop-2-enoate,CCCCOC(=O)C(C)=C,"InChI=1S/C8H14O2/c1-4-5-6-10-8(9)7(2)3/h2,4-6H2,1,3H3
",C8H14O2,142.198,142.099380,198,131,109,25,1,5/235,2,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4036304,Nitrogen,7727-37-9,IJGRMHOSHXDMSA-UHFFFAOYSA-N,Nitrogen,N#N,"InChI=1S/N2/c1-2
",N2,28.014,28.006148,224,57363,53,1079,1, ,,
