DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2020844,Methyl methacrylate,80-62-6,VVQNEPGJFQJSBK-UHFFFAOYSA-N,Methyl 2-methylprop-2-enoate,COC(=O)C(C)=C,"InChI=1S/C5H8O2/c1-4(2)5(6)7-3/h1H2,2-3H3
",C5H8O2,100.117,100.052429,342,1727,157,491,1,1/235,0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2021159,Phthalic anhydride,85-44-9,LGRFSURHDFAFJT-UHFFFAOYSA-N,"2-Benzofuran-1,3-dione",O=C1OC(=O)C2=C1C=CC=C2,"InChI=1S/C8H4O3/c9-7-5-3-1-2-4-6(5)8(10)11-7/h1-4H
",C8H4O3,148.117,148.016044,288,91,182,83,1,0/235,0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2021284,Styrene,100-42-5,PPBRXRYQALVLMV-UHFFFAOYSA-N,Ethenylbenzene,C=CC1=CC=CC=C1,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2
",C8H8,104.152,104.062600,417,1679,317,1422,1,1/235,0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2021446,Xylenes,1330-20-7,,,,,,, ,369,3561,,21788,1,4/235,2,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2021600,Heptanoic acid,111-14-8,MNWFXJYAOYHMED-UHFFFAOYSA-N,Heptanoic acid,CCCCCCC(O)=O,"InChI=1S/C7H14O2/c1-2-3-4-5-6-7(8)9/h2-6H2,1H3,(H,8,9)
",C7H14O2,130.187,130.099380,232,,197,5,1,10/859,1,859
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2021604,Hexanal,66-25-1,JARKCYVAAOWBJS-UHFFFAOYSA-N,Hexanal,CCCCCC=O,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3
",C6H12O,100.161,100.088815,237,264,134,14,1,13/405,3,405
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2021658,Propanal,123-38-6,NBBJYMSMWIIQGU-UHFFFAOYSA-N,Propanal,CCC=O,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3
",C3H6O,58.08,58.041865,246,1219,158,3,1,0/235,0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2021781,"Dibutyl 1,2-benzenedicarboxylate",84-74-2,DOIRQSBPFJWKBE-UHFFFAOYSA-N,"Dibutyl benzene-1,2-dicarboxylate",CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,"InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3
",C16H22O4,278.348,278.151809,463,831,189,787,1,108/1142,9,1142
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2021868,p-Xylene,106-42-3,URLKBWYHVLBVBO-UHFFFAOYSA-N,"1,4-Xylene",CC1=CC=C(C)C=C1,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3
",C8H10,106.168,106.078250,284,183,196,253,1,0/235,0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2021941,2-(2-Ethoxyethoxy)ethanol,111-90-0,XXJWXESWEXIICW-UHFFFAOYSA-N,2-(2-Ethoxyethoxy)ethan-1-ol,CCOCCOCCO,"InChI=1S/C6H14O3/c1-2-8-5-6-9-4-3-7/h7H,2-6H2,1H3
",C6H14O3,134.175,134.094294,323,129,292,815,1,9/857,1,857
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2022123,2-Hydroxyethyl acrylate,818-61-1,OMIGHNLMNHATMP-UHFFFAOYSA-N,2-Hydroxyethyl prop-2-enoate,OCCOC(=O)C=C,"InChI=1S/C5H8O3/c1-2-5(7)8-4-3-6/h2,6H,1,3-4H2
",C5H8O3,116.116,116.047344,195,40,119,3,1,51/453,11,453
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2025842,Pentaerythritol triacrylate,3524-68-3,HVVWZTWDBSEWIH-UHFFFAOYSA-N,"2-(Hydroxymethyl)-2-{[(prop-2-enoyl)oxy]methyl}propane-1,3-diyl diprop-2-enoate",OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,"InChI=1S/C14H18O7/c1-4-11(16)19-8-14(7-15,9-20-12(17)5-2)10-21-13(18)6-3/h4-6,15H,1-3,7-10H2
",C14H18O7,298.291,298.105253,125,39,82,5,1,305/631,48,631
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2026107,Tetraethylene glycol diacrylate,17831-71-9,HCLJOFJIQIJXHS-UHFFFAOYSA-N,"({Oxybis[(ethane-2,1-diyl)]oxy}ethane-2,1-diyl) diprop-2-enoate",C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,"InChI=1S/C14H22O7/c1-3-13(15)20-11-9-18-7-5-17-6-8-19-10-12-21-14(16)4-2/h3-4H,1-2,5-12H2
",C14H22O7,302.323,302.136553,120,5,56,2,1,117/235,50,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2026157,"Toluene-2,6-diisocyanate",91-08-7,RUELTTOHQODFPA-UHFFFAOYSA-N,"1,3-Diisocyanato-2-methylbenzene",CC1=C(C=CC=C1N=C=O)N=C=O,"InChI=1S/C9H6N2O2/c1-7-8(10-5-12)3-2-4-9(7)11-6-13/h2-4H,1H3
",C9H6N2O2,174.159,174.042927,163,42,92,48,1,0/235,0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2029612,Limonene,138-86-3,XMGQYMWWDOXHJM-UHFFFAOYSA-N,1-Methyl-4-(prop-1-en-2-yl)cyclohex-1-ene,CC(=C)C1CCC(C)=CC1,"InChI=1/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3
",C10H16,136.238,136.125201,346,1005,160,959,1,5/439,1,439
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2044763,Parbenate,10287-53-3,FZUGPQWGEGAKET-UHFFFAOYSA-N,Ethyl 4-(dimethylamino)benzoate,CCOC(=O)C1=CC=C(C=C1)N(C)C,"InChI=1S/C11H15NO2/c1-4-14-11(13)9-5-7-10(8-6-9)12(2)3/h5-8H,4H2,1-3H3
",C11H15NO2,193.246,193.110279,124,22,125,18,1,16/398,4,398
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2047511,Ethyl hexadecanoate,628-97-7,XIRNKXNNONJFQO-UHFFFAOYSA-N,Ethyl hexadecanoate,CCCCCCCCCCCCCCCC(=O)OCC,"InChI=1S/C18H36O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20-4-2/h3-17H2,1-2H3
",C18H36O2,284.484,284.271530,135,37,125,1,1,2/403,0,403
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2060468,"Formic acid, butyl ester",592-84-7,NMJJFJNHVMGPGM-UHFFFAOYSA-N,Butyl formate,CCCCOC=O,"InChI=1S/C5H10O2/c1-2-3-4-7-5-6/h5H,2-4H2,1H3
",C5H10O2,102.133,102.068080,99,,100,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID30178024,2-Monopalmitin,23470-00-0,BBNYCLAREVXOSG-UHFFFAOYSA-N,"1,3-Dihydroxypropan-2-yl hexadecanoate",CCCCCCCCCCCCCCCC(=O)OC(CO)CO,"InChI=1S/C19H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(22)23-18(16-20)17-21/h18,20-21H,2-17H2,1H3
",C19H38O4,330.509,330.277010,35,4,74,,1, ,,
